*
*
*AcceptedAggregatedOffersService(B1780) Data
*
*Time Series ID,Business Type,Control Area,Settlement Date,Settlement Period,"Imbalance Quantity (MAW)",Curve Type,Resolution,Document Type,Process Type,Active Flag,Document Status,Document ID,Document RevNum,Imbalance Quantity Direction
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,10,-364.578,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29316462,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,9,-192.5028,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29316454,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,8,-308.899,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29316438,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,7,-92.9025,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29316434,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,6,17.1654,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29316428,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,5,-122.4382,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29316417,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,4,-228.9406,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29316404,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,3,-221.3635,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29316394,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,2,-319.792,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29316368,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,1,-165.0021,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29316354,1,DEFICIT
<EOF>
