*
*
*Imbalance Prices Service For Balancing (B1770) Data
*
*DocumentID,DocumentRevNum,ActiveFlag,ProcessType,DocumentType,Resolution,CurveType,PriceCategory,ImbalancePriceAmount,SettlementPeriod,SettlementDate,ControlArea,BusinessType,TimeSeriesID,DocumentStatus
ELX-EMFIP-IMBP-28268836,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,253.5,27,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28268716,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,253.5,26,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28268716,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,253.5,26,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28268534,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,187.34,25,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28268534,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,187.34,25,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28268388,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,237.37,24,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28268388,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,237.37,24,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28268240,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,245,23,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28268240,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,245,23,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28268119,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,255,22,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28268119,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,255,22,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28267959,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,254,21,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28267959,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,254,21,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28267793,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,235,20,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28267793,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,235,20,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28267587,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,235,19,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28267587,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,235,19,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28267412,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,235,18,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28267412,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,235,18,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
